name,1b,1k,1w,1x
CPU,0.9934081878832046,0.9986151872744322,0.9952194306530798,1.0001889661435406
Memory,0.6844568264652513,0.9300994266155069,0.9948523289360824,1.0027219923053832
File Read,0.6991397970659415,0.8900429702179176,0.3661932785936306,1.000408870761474
File Write,0.5720094842506854,0.8991474999049963,0.8823054697963005,1.0035088042543245
