name,2bk,2kk,2wk,2xk
CPU,0.964566335643461,0.990567300421451,0.9883938090976008,0.9889332229279734
Memory,0.6465080522918766,0.11839255604988684,0.9199356067871948,0.9204390885111284
File Read,0.5949001130098706,0.4783475323896602,0.2600237793028799,0.9105278060638362
File Write,0.44058674300743794,0.6760059742948709,0.6109108035933288,0.9030075300528452
