name,u3,u6,u9
CPU,0.9974088200876013,0.9999135179345261,0.9999773538424376
Memory,0.9942804787449482,0.9902126454920303,0.9897570004389626
File Read,0.9847922436761678,0.9805561336504126,0.9805069841627602
File Write,0.9990246488448972,0.9982751201689996,0.9993551207656848
